"file";"numMatches";"numReplacements";"hasChanged"
"playground/docs/modules/ROOT/nav.adoc";0;0;"false"
"playground/docs/modules/ROOT/pages/index.adoc";2;2;"true"
"playground/docs/modules/ROOT/partials/attributes.adoc";0;0;"false"
