"image";"altText";"filename"
"https://skupper.io/images/skupper-logo.svg";;"playground/docs/modules/ROOT/pages/index.adoc"
"https://skupper.io/images/skupper-logo.svg";"width=10%";"playground/docs/modules/ROOT/pages/index.adoc"
